Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Modelling What There Is: Ontologising in a Multidimensional World.","McCarty, Willard","Historical Social Research - Supplement",="09366784",,="2018 Supplement",,"31","33","13","133152550","10.12759/hsr.suppl.31.2018.33-45","GESIS - Leibniz-Institute for the Social Sciences","Article","DIGITAL humanities; ONTOLOGIES (Information retrieval); CONCEPTUAL models","anthropology; Modelling; multidimensionality; ontology; semantic stretch","The incursion of digital computing machinery into the public sphere and the return of ""ontology"" from philosophical exile occurred almost simultaneously, circa 1948. In this essay I ask, what do the modelling machine and philosophers' irreconcilable accounts of ""what there is"" have to do with each other? Are the ontological pluralism of the former and the multi-centric multi-naturalism of the latter kin? If so, then recent anthropology has much to say to digital humanities. [ABSTRACT FROM AUTHOR] Copyright of Historical Social Research - Supplement is the property of GESIS - Leibniz-Institute for the Social Sciences and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=133152550&site=ehost-live"
"Modelling: Thinking in Practice. An Introduction.","Ciula, Arianna; Eide, Øyvind; Marras, Cristina; Sahle, Patrick","Historical Social Research - Supplement",="09366784",,="2018 Supplement",,"31","7","23","133152549","10.12759/hsr.suppl.31.2018.7-29","GESIS - Leibniz-Institute for the Social Sciences","Article","DIGITAL humanities; MULTIDISCIPLINARY practices; CONCEPTUAL models","Digital Humanities; Modelling; Multidisciplinarity; Visualization","In this introduction of the HSR Supplement ""Models and Modelling between Digital and Humanities - A Multidisciplinary Perspective"" we refrain from providing a normative definition of 'model' and 'modelling' and rather attempt at encircling the current state of the art. In the first instance this chapter provides a very brief overview on modelling as intended as a research strategy applied to scientific fields in the 20th-21st centuries. This overview is followed by a short introduction to modelling in digital humanities, focusing on how modelling has developed into a practical strategy and how it has been theorised. The third part of the introduction presents the scope of the project ""Modelling between digital and humanities: Thinking in practice"". The aim of a project workshop held in 2017, of which this volume collects the proceedings, was to present a multitude of modelling practices from various disciplines together with different theoretical frameworks. The fourth part of this introduction offers an overview of each of the papers in this volume. Finally, a fifth section constitutes the first item of the proceedings as it reproduces an adaptation of the dialogue which was performed to introduce the main topics of the workshop and the scope of the project at the event itself. It serves to illustrate the way we organised the workshop and how the exchanges amongst participants were facilitated. [ABSTRACT FROM AUTHOR] Copyright of Historical Social Research - Supplement is the property of GESIS - Leibniz-Institute for the Social Sciences and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=133152549&site=ehost-live"
"Models and Modelling between Digital and Humanities. Remarks from a Multidisciplinary Perspective.","Ciula, Arianna; Eide, Øyvind; Marras, Cristina; Sahle, Patrick","Historical Social Research",="01726404",,="2018","43","4","343","19","133612566","10.12759/hsr.43.2018.4.343-361","GESIS - Leibniz-Institute for the Social Sciences","Article","DIGITAL humanities; VISUALIZATION; SOCIAL science research; SCIENTIFIC models; HUMANITIES","Digital Humanities; Modelling; Multidisciplinarity; Visualization","We here introduce the latest issue of Historical Social Research Supplement (No. 31). In ""Models and Modelling between Digital and Humanities - A Multidisciplinary Perspective""1 we refrain from providing a normative definition of 'model' and 'modelling' and rather attempt at encircling the current state of the art. In the first instance this chapter provides a very brief overview on modelling as intended as a research strategy applied to scientific fields in the 20th-21st centuries. This overview is followed by a short introduction to modelling in digital humanities, focusing on how modelling has developed into a practical strategy and how it has been theorised. The third part of the introduction presents the scope of the project ""Modelling between digital and humanities: Thinking in practice"". The aim of a project workshop held in 2017, of which HSR Supplement 31 collects the proceedings, was to present a multitude of modelling practices from various disciplines together with different theoretical frameworks. The fourth part of this introduction offers an overview of each of the papers in that volume. Finally, a fifth section constitutes the first item of the proceedings as it reproduces an adaptation of the dialogue which was performed to introduce the main topics of the workshop and the scope of the project at the event itself. It serves to illustrate the way we organised the workshop and how the exchanges amongst participants were facilitated. [ABSTRACT FROM AUTHOR] Copyright of Historical Social Research is the property of GESIS - Leibniz-Institute for the Social Sciences and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=133612566&site=ehost-live"
"Monographs, Archives, and Networks: Representing Designer Relationships.","Moriarty, Catherine","Design Issues",="07479360",,="Autumn2016","32","4","52","12","118482979","10.1162/DESI_a_00416","MIT Press","Article","Photographs -- History; Archives; Libraries and Archives; Design & history; Biography (Literary form); Design thinking; History of archives; Digital humanities; Critical thinking",,"The article discusses significance of design history in the form of monographs derived from artist biographies and architects in establishing relationship between the designers and its deployment as a tool to understand and represent design history. Topics discussed include focus on collaborative efforts in creating links between people by analysis of historical photographs and archival documents, need for inclusion of design theory presentation and contents of project design into digital humanities, and role of critical design thinking and design history in determining the process of selection and editing for modification of design history.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asu&AN=118482979&site=ehost-live"
"Monographs, Archives, and Networks: Representing Designer Relationships.","Moriarty, Catherine","Design Issues",="07479360",,="Autumn2016","32","4","52","12","118482979","10.1162/DESI_a_00416","MIT Press","Article","DESIGN & history; BIOGRAPHY (Literary form); DESIGN thinking; PHOTOGRAPHS -- History; HISTORY of archives; DIGITAL humanities; CRITICAL thinking; Archives; Libraries and Archives",,"The article discusses significance of design history in the form of monographs derived from artist biographies and architects in establishing relationship between the designers and its deployment as a tool to understand and represent design history. Topics discussed include focus on collaborative efforts in creating links between people by analysis of historical photographs and archival documents, need for inclusion of design theory presentation and contents of project design into digital humanities, and role of critical design thinking and design history in determining the process of selection and editing for modification of design history.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=118482979&site=ehost-live"
"Moving Subjects, Situated Memory: Thinking and Seeing Medieval Travel on the Silk Road.","Franklin, Kate","International Journal of Historical Archaeology",="10927697",,="Dec2020","24","4","852","25","146734222","10.1007/s10761-019-00528-5","Springer Nature","Article","Historical archaeology; Silk Road -- History; Geographic information systems in archaeology; Digital humanities; Landscapes","Armenia; GIS; Medieval; Memory; Movement; Silk road","Using a brief experiment in GIS, this article explores the relationship between showing and knowing in archaeology, and the relationship between seeing and understanding in medieval and modern ideas about landscape. The experiment plays with recreating the travel 'mnemonic-scape' along a section of medieval (thirteenth-fifteenth CE centuries) mountain highway, along a branch of what is now called ""the Silk Road"" located in the center of the modern Republic of Armenia. Ultimately, I argue for GIS mapping as one among multiple tools to be used to think playfully about historical experiences of space and movement, and about the critical link between vision, commemoration, and memory in the construction of social landscapes. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Historical Archaeology is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asu&AN=146734222&site=ehost-live"
"Moving Subjects, Situated Memory: Thinking and Seeing Medieval Travel on the Silk Road.","Franklin, Kate","International Journal of Historical Archaeology",="10927697",,="Dec2020","24","4","852","25","146734222","10.1007/s10761-019-00528-5","Springer Nature","Article","SILK Road -- History; HISTORICAL archaeology; GEOGRAPHIC information systems in archaeology; DIGITAL humanities; LANDSCAPES","Armenia; GIS; Medieval; Memory; Movement; Silk road","Using a brief experiment in GIS, this article explores the relationship between showing and knowing in archaeology, and the relationship between seeing and understanding in medieval and modern ideas about landscape. The experiment plays with recreating the travel 'mnemonic-scape' along a section of medieval (thirteenth-fifteenth CE centuries) mountain highway, along a branch of what is now called ""the Silk Road"" located in the center of the modern Republic of Armenia. Ultimately, I argue for GIS mapping as one among multiple tools to be used to think playfully about historical experiences of space and movement, and about the critical link between vision, commemoration, and memory in the construction of social landscapes. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Historical Archaeology is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=146734222&site=ehost-live"
"Multispectral Imaging of the Vercelli Mappamundi: A Progress Report.","Davies, Helen","Imago Mundi",="03085694",,="Jun2020","72","2","181","11","144953672","10.1080/03085694.2020.1748378","Taylor & Francis Ltd","Article","MULTISPECTRAL imaging; MAPPAE mundi; CULTURAL property; IMAGE processing; CARTOGRAPHY; DIGITAL humanities; Geophysical Surveying and Mapping Services; One-Hour Photofinishing; Photofinishing Laboratories (except One-Hour); Historical Sites","Carlo Capello; Carlo Errera; cartography; corrosive pigments; cultural heritage imaging; digital humanities; illegibility; manuscripts; mappaemundi; medieval maps; multispectral imaging (MSI); preservation; text recovery; Vercelli mappamundi; Youssouf Kamal",,"https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=144953672&site=ehost-live"
"MUNICIPAL LIBRARIES: Digitization as a means of preserving and rescuing archival material and books. Ways to manage and avoid material damage.","Nikta, Marina; Karydis, Christos","Qualitative & Quantitative Methods in Libraries",="22411925",,="Mar2022","11","1","117","15","156888049",,"International Society for the Advancement of Science & Technology","Article","Archival materials; Digitization; Library catalogs; Electronic books; Archives; Archives; Libraries and Archives; All Other Publishers; Other printing; Other publishers; Commercial Printing (except Screen and Books); Catalogs; Print materials; Digital humanities","archival material; conservation; digitization; digitization management; maintenance; material damage prevention; preservation; rescue","Municipal Libraries have a significant number of rare and valuable publications as well as unique archival material. Until recently, the rarity of this material imposed on its management a series of prohibitions that made research difficult. The adoption of digital technology in the field of Closed Collections has come to change the data and facilitate research, simulating it to a large extent with that of open access collections. The digitization and electronic cataloging of these books was deemed necessary, not only because it contributed to the substantial, albeit virtual, enrichment of the electronic catalog of the Municipal Libraries, but also because it digitally saved an extremely distressed printed material of maximum importance. [ABSTRACT FROM AUTHOR] Copyright of Qualitative & Quantitative Methods in Libraries is the property of International Society for the Advancement of Science & Technology and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=156888049&site=ehost-live"
"MUNICIPAL LIBRARIES: Digitization as a means of preserving and rescuing archival material and books. Ways to manage and avoid material damage.","Nikta, Marina; Karydis, Christos","Qualitative & Quantitative Methods in Libraries",="22411925",,="Mar2022","11","1","117","15","156888049",,"International Society for the Advancement of Science & Technology","Article","CATALOGS; ARCHIVAL materials; DIGITIZATION; LIBRARY catalogs; ELECTRONIC books; PRINT materials; ARCHIVES; DIGITAL humanities; Archives; Libraries and Archives; All Other Publishers; Other printing; Other publishers; Commercial Printing (except Screen and Books)","archival material; conservation; digitization; digitization management; maintenance; material damage prevention; preservation; rescue","Municipal Libraries have a significant number of rare and valuable publications as well as unique archival material. Until recently, the rarity of this material imposed on its management a series of prohibitions that made research difficult. The adoption of digital technology in the field of Closed Collections has come to change the data and facilitate research, simulating it to a large extent with that of open access collections. The digitization and electronic cataloging of these books was deemed necessary, not only because it contributed to the substantial, albeit virtual, enrichment of the electronic catalog of the Municipal Libraries, but also because it digitally saved an extremely distressed printed material of maximum importance. [ABSTRACT FROM AUTHOR] Copyright of Qualitative & Quantitative Methods in Libraries is the property of International Society for the Advancement of Science & Technology and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=156888049&site=ehost-live"
"Named entity recognition goes to old regime France: geographic text analysis for early modern French corpora.","McDonough, Katherine; Moncla, Ludovic; van de Camp, Matje","International Journal of Geographical Information Science",="13658816",,="Dec2019","33","12","2498","25","138734360","10.1080/13658816.2019.1620235","Taylor & Francis Ltd","Article","Information retrieval; Geospatial data; Corpora; Geographic names; Digital humanities; Early modern history","digital history; early modern history; ethics of GIS; geographic information retrieval","Geographic text analysis (GTA) research in the digital humanities has focused on projects analyzing modern English-language corpora. These projects depend on temporally specific lexicons and gazetteers that enable place name identification and georesolution. Scholars working on the early modern period (1400–1800) lack temporally appropriate geoparsers and gazetteers and have been reliant on general purpose linked open data services like Geonames. These anachronistic resources introduce significant information retrieval and ethical challenges for early modernists. Using the geography entries of the canonical eighteenth-century Encyclopédie, we evaluate rule-based named entity recognition (NER) systems to pinpoint areas where they would benefit from adjustments for processing historical corpora. As we demonstrate, annotating nested and extended place information is one way to improve early modern GTA. Working with Enlightenment sources also motivates a critique of the landscape of digital geospatial data. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Geographical Information Science is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=138734360&site=ehost-live"
"Named entity recognition goes to old regime France: geographic text analysis for early modern French corpora.","McDonough, Katherine; Moncla, Ludovic; van de Camp, Matje","International Journal of Geographical Information Science",="13658816",,="Dec2019","33","12","2498","25","138734360","10.1080/13658816.2019.1620235","Taylor & Francis Ltd","Article","GEOSPATIAL data; CORPORA; INFORMATION retrieval; GEOGRAPHIC names; DIGITAL humanities; EARLY modern history","digital history; early modern history; ethics of GIS; geographic information retrieval","Geographic text analysis (GTA) research in the digital humanities has focused on projects analyzing modern English-language corpora. These projects depend on temporally specific lexicons and gazetteers that enable place name identification and georesolution. Scholars working on the early modern period (1400–1800) lack temporally appropriate geoparsers and gazetteers and have been reliant on general purpose linked open data services like Geonames. These anachronistic resources introduce significant information retrieval and ethical challenges for early modernists. Using the geography entries of the canonical eighteenth-century Encyclopédie, we evaluate rule-based named entity recognition (NER) systems to pinpoint areas where they would benefit from adjustments for processing historical corpora. As we demonstrate, annotating nested and extended place information is one way to improve early modern GTA. Working with Enlightenment sources also motivates a critique of the landscape of digital geospatial data. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Geographical Information Science is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=138734360&site=ehost-live"
"NEW DIRECTIONS FOR RESEARCH AND PEDAGOGY IN BOOK HISTORY.","HOWSAM, LESLIE","Knygotyra",="02042061",,="2013",,"60","7","12","88399113",,"Vilnius University","Article","History of the book; Education; Communication; Book stores and news dealers; Book, periodical and newspaper merchant wholesalers; Book, Periodical, and Newspaper Merchant Wholesalers; Book Stores; Administration of Education Programs; All Other Miscellaneous Schools and Instruction; Educational Support Services; Culture; Narratives; Digital humanities","book history; book science; communication; digital humanities; literature; nation; pedagogy; transnational","This article addresses contemporary trends in the history of the book, focusing on both research and teaching. Given the great complexity of the interdisciplinary study of book science (called 'book history' or 'the history of the book' in North America and Britain, and l'histoire du livre in France), students may be confused or overwhelmed when the subject is introduced. They may legitimately ask what they can expect to learn, and how the subject will be organized. This is especially relevant because their generation has grown up with computers and with digital texts, and also with a cultural discourse of globalization. The article considers the challenges of teaching and learning the history of the book from two points of view, both of which have produced rich results in research over the past twenty to thirty years. The first identifies each individual book as a means of communication and cultural transfer; the second incorporates ""the book"" as a conceptual category in larger historical narratives working from the perspectives of time and space. While both perspectives can be of value for an introduction to this protean subject, neither offers a fully satisfactory response to the challenge of producing a coherent narrative. There is a discussion of transnational approaches to the history of the book; these are compared favourably to the more limited national approach, but the scholarly impulse to undertake the latter is contextualized. The article concludes with a discussion of Digital Humanities and demonstrates how this new field of study can work collaboratively with scholars in book history. (English) [ABSTRACT FROM AUTHOR] Straipsnyje nagrinėjamos naujos knygos istorijos - tiek teorijos, tiek mokymo pedagogikos kryptys. Atsižvelgiant į tai, koks sudėtingas yra tarpdisciplininis mokymas apie knygas (Šiaurės Amerikoje ir Britanijoje vadinamas „book history″ arba „the history of the book″, Prancūzijoje - „l'histoire du livre″), jį studijuojantys asmenys sutrinka ir pasimeta pradėdami pažintį su šiuo dalyku. Jie visiškai teisėtai klausia, ko juos siekiama išmokyti ir kaip mokomasis dalykas bus pateikiamas. Tai ypač svarbu, nes naujoji karta išaugo kompiuterių ir skaitmeninių tekstų terpėje. Be to, reikia atsižvelgti į kultūrinio diskurso globalizaciją. Straipsnyje nagrinėjamos knygos istorijos mokymo bei mokymosi problemos dviem požiūriais, kurie per pastaruosius du tris dešimtmečius davė vaisingų tyrinėjimo rezultatų. Pirmuoju požiūriu kiekviena atskira knyga identifikuojama kaip komunikacijos ir kultūrinių mainų priemonė, o antruoju - į „knygą″ žvelgiama kaip į konceptualinę kategoriją platesnėje laiko ir erdvės veikiamoje istorinėje pasakojimo erdvėje. Nors abu požiūriai gali būti vertingi pristatant tokį takų dalyką, nė vienas iš jų neduoda visiškai patenkinamo atsakymo, kaip reikėtų konstruoti rišlų pasakojimą. Diskutuojama apie tarptautines knygos istorijos įžvalgas, kurios vertinamos palankiau negu labiau ribotos tautinės, tačiau tyrėjui kyla noras visa tai labiau kontekstualizuoti. Straipsnio pabaigoje aptariama skaitmeninės humanitarikos sąvoka ir būdai, kaip šiame naujame mokslinių tyrimų bare galėtų bendradarbiauti knygos istorijos tyrėjai. (Lithuanian) [ABSTRACT FROM AUTHOR] Copyright of Knygotyra is the property of Vilnius University and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=88399113&site=ehost-live"
"NEW DIRECTIONS FOR RESEARCH AND PEDAGOGY IN BOOK HISTORY.","HOWSAM, LESLIE","Knygotyra",="02042061",,="2013",,"60","7","12","88399113",,"Vilnius University","Article","HISTORY of the book; EDUCATION; CULTURE; NARRATIVES; COMMUNICATION; DIGITAL humanities; Book stores and news dealers; Book, periodical and newspaper merchant wholesalers; Book, Periodical, and Newspaper Merchant Wholesalers; Book Stores; Administration of Education Programs; All Other Miscellaneous Schools and Instruction; Educational Support Services","book history; book science; communication; digital humanities; literature; nation; pedagogy; transnational","This article addresses contemporary trends in the history of the book, focusing on both research and teaching. Given the great complexity of the interdisciplinary study of book science (called 'book history' or 'the history of the book' in North America and Britain, and l'histoire du livre in France), students may be confused or overwhelmed when the subject is introduced. They may legitimately ask what they can expect to learn, and how the subject will be organized. This is especially relevant because their generation has grown up with computers and with digital texts, and also with a cultural discourse of globalization. The article considers the challenges of teaching and learning the history of the book from two points of view, both of which have produced rich results in research over the past twenty to thirty years. The first identifies each individual book as a means of communication and cultural transfer; the second incorporates ""the book"" as a conceptual category in larger historical narratives working from the perspectives of time and space. While both perspectives can be of value for an introduction to this protean subject, neither offers a fully satisfactory response to the challenge of producing a coherent narrative. There is a discussion of transnational approaches to the history of the book; these are compared favourably to the more limited national approach, but the scholarly impulse to undertake the latter is contextualized. The article concludes with a discussion of Digital Humanities and demonstrates how this new field of study can work collaboratively with scholars in book history. (English) [ABSTRACT FROM AUTHOR] Straipsnyje nagrinėjamos naujos knygos istorijos - tiek teorijos, tiek mokymo pedagogikos kryptys. Atsižvelgiant į tai, koks sudėtingas yra tarpdisciplininis mokymas apie knygas (Šiaurės Amerikoje ir Britanijoje vadinamas „book history″ arba „the history of the book″, Prancūzijoje - „l'histoire du livre″), jį studijuojantys asmenys sutrinka ir pasimeta pradėdami pažintį su šiuo dalyku. Jie visiškai teisėtai klausia, ko juos siekiama išmokyti ir kaip mokomasis dalykas bus pateikiamas. Tai ypač svarbu, nes naujoji karta išaugo kompiuterių ir skaitmeninių tekstų terpėje. Be to, reikia atsižvelgti į kultūrinio diskurso globalizaciją. Straipsnyje nagrinėjamos knygos istorijos mokymo bei mokymosi problemos dviem požiūriais, kurie per pastaruosius du tris dešimtmečius davė vaisingų tyrinėjimo rezultatų. Pirmuoju požiūriu kiekviena atskira knyga identifikuojama kaip komunikacijos ir kultūrinių mainų priemonė, o antruoju - į „knygą″ žvelgiama kaip į konceptualinę kategoriją platesnėje laiko ir erdvės veikiamoje istorinėje pasakojimo erdvėje. Nors abu požiūriai gali būti vertingi pristatant tokį takų dalyką, nė vienas iš jų neduoda visiškai patenkinamo atsakymo, kaip reikėtų konstruoti rišlų pasakojimą. Diskutuojama apie tarptautines knygos istorijos įžvalgas, kurios vertinamos palankiau negu labiau ribotos tautinės, tačiau tyrėjui kyla noras visa tai labiau kontekstualizuoti. Straipsnio pabaigoje aptariama skaitmeninės humanitarikos sąvoka ir būdai, kaip šiame naujame mokslinių tyrimų bare galėtų bendradarbiauti knygos istorijos tyrėjai. (Lithuanian) [ABSTRACT FROM AUTHOR] Copyright of Knygotyra is the property of Vilnius University and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=88399113&site=ehost-live"
"New medium, old archives? Exploring archival potential in The Live Art Collection of the UK Web Archive.","Bartlett, Vanessa","International Journal of Performance Arts & Digital Media",="14794713",,="2014","10","1","91","13","98983572","10.1080/14794713.2014.912504","Taylor & Francis Ltd","Article","ART museums; WEB archives; DIGITAL libraries; DOCUMENTATION; DIGITAL humanities; Museums; Non-commercial art museums and galleries; Libraries and Archives","internet; live art; oral history; UK Web Archive; web archiving","This article speculates about the new kinds of historical information that performance scholars may be able to preserve as a result of recent innovations in web archiving. Using The Live Art Collection of the UK Web Archive as its case study, the article draws on influences from oral history, new media theory and the digital humanities. Beginning with an assertion that the Web has a tendency to aggregate existing media forms into one archival location, the article makes the case that online writing is key to web archiving's potential to document new kinds of knowledge about performance and live art. Subsequently it points to limitations in the current archival structures of the collection and concludes that further innovation is required in order to maximize the scholarly potential of the material contained within it. Interviews with the team who manage and curate the collection are used throughout to support assertions about the collections intended use and functions. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Performance Arts & Digital Media is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=98983572&site=ehost-live"
"Nineteenth-Century Journalism Online—The Market Versus Academia?","Horrocks, Clare","Media History",="13688804",,="Jan2014","20","1","21","13","94240736","10.1080/13688804.2013.873159","Taylor & Francis Ltd","Article","HISTORY of journalism; PRESERVATION of newspapers; NEWSPAPER archives; DIGITIZATION of archival materials; DIGITAL preservation; DIGITAL humanities; MASS media research; NINETEENTH century; Book stores and news dealers; News Dealers and Newsstands; Book, Periodical, and Newspaper Merchant Wholesalers; Book, periodical and newspaper merchant wholesalers; Newspaper Publishers; PUNCH (Periodical)","collaborative provision; Digital archive; learning communities; researchers; teaching and learning","In a climate of fear about funding for libraries and the arts, the preservation of many periodicals and newspapers is under threat. Digitisation is therefore justifiable as a conservation directive however what of those volumes that are not chosen? Are we creating an alternative version of Victorian culture through so selective a gaze? Indeed, who is choosing these titles? There is a question of access, both of what material is available to digitise and also what it is perceived ‘the audience’ want. However, a further question is raised—who are ‘the audience’? What are these archives going to be used for? This article will examine the different forms of nineteenth-century periodical and newspaper archives that are available, how they are organised and who their perceived audience is, before going on to consider the pedagogical utility of such sites. How can we enhance students' understanding of nineteenth-century culture by using these archives in our lecture theatres? And if we do, what are the implications for research in the future? [ABSTRACT FROM PUBLISHER] Copyright of Media History is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=94240736&site=ehost-live"
"No Half Measures: Overcoming Common Challenges to Doing Digital Humanities in the Library.","Posner, Miriam","Journal of Library Administration",="01930826",,="Jan2013","53","1","43","10","85200055","10.1080/01930826.2013.756694","Taylor & Francis Ltd","Article","Academic library administration; Academic librarianship; Job descriptions of academic librarians; Information technology; Library science; Academic libraries & faculty; Libraries and Archives; Humanities education; Digital humanities centers","digital humanities; digital librarianship; information technology; infrastructure; staffing; support","While much work on libraries and digital humanities has focused on how to train and encourage individual librarians, we have not paid enough attention to the administrative and institutional factors required to help these professionals succeed. This article outlines some common sources of frustration for library professionals engaged in digital humanities work and offers sketches of some library-based digital humanities programs that are working to address these challenges. [ABSTRACT FROM AUTHOR] Copyright of Journal of Library Administration is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=85200055&site=ehost-live"
